Timestamp,Heart_Rate_BPM,HRV_RMSSD_ms,Breathing_Rate_BPM
2026-06-03 14:49:28,104.3,--,--
2026-06-03 14:49:29,121.5,--,--
2026-06-03 14:49:30,100.7,--,--
2026-06-03 14:49:31,118.3,--,--
2026-06-03 14:49:32,52.2,--,--
2026-06-03 14:49:33,58.7,--,--
2026-06-03 14:49:34,79.8,--,--
2026-06-03 14:49:35,79.8,--,--
2026-06-03 14:49:36,79.8,--,--
2026-06-03 14:49:37,79.8,--,--
2026-06-03 14:49:38,88.7,--,--
2026-06-03 14:49:39,52.9,--,--
2026-06-03 14:49:40,53.2,--,--
2026-06-03 14:49:41,52.9,--,--
2026-06-03 14:49:42,62.1,--,--
2026-06-03 14:49:43,62.1,--,--
2026-06-03 14:49:44,61.8,--,--
2026-06-03 14:49:45,52.9,--,--
2026-06-03 14:49:46,79.8,--,--
2026-06-03 14:49:47,79.4,282.4,27.4
2026-06-03 14:49:48,88.2,288.3,26.9
2026-06-03 14:49:49,88.7,302.9,26.9
2026-06-03 14:49:50,88.7,252.9,26.9
2026-06-03 14:49:51,88.7,285.7,26.9
2026-06-03 14:49:52,61.8,285.7,26.9
2026-06-03 14:49:53,62.1,279.3,27.4
2026-06-03 14:49:54,62.1,268.5,26.9
2026-06-03 14:49:55,88.7,232.6,26.9
2026-06-03 14:49:56,88.7,212.5,26.9
2026-06-03 14:49:57,88.7,222.6,26.9
2026-06-03 14:49:58,89.1,243.7,29.1
2026-06-03 14:49:59,53.2,225.8,24.6
2026-06-03 14:50:00,62.1,229.9,20.1
2026-06-03 14:50:26,79.8,--,--
2026-06-03 14:50:27,70.9,--,--
2026-06-03 14:50:28,70.9,--,--
2026-06-03 14:50:29,70.6,--,--
2026-06-03 14:50:30,70.9,--,--
2026-06-03 14:50:31,70.9,--,--
2026-06-03 14:50:32,61.8,--,--
2026-06-03 14:50:33,61.8,--,--
2026-06-03 14:50:34,70.9,--,--
2026-06-03 14:50:35,70.9,--,--
2026-06-03 14:50:36,70.6,--,--
2026-06-03 14:58:16,97.6,--,--
2026-06-03 14:58:17,94.0,--,--
2026-06-03 14:58:18,89.6,--,--
2026-06-03 14:58:19,87.9,--,--
2026-06-03 14:58:20,89.6,--,--
2026-06-03 14:58:21,93.2,--,--
2026-06-03 14:58:22,106.3,--,--
2026-06-03 14:58:23,125.7,--,--
2026-06-03 14:58:24,91.4,--,--
2026-06-03 14:58:25,101.1,--,--
2026-06-03 14:58:26,101.1,--,--
2026-06-03 14:58:27,98.4,--,--
2026-06-03 14:58:28,89.6,--,--
2026-06-03 14:58:29,87.9,--,--
2026-06-03 14:58:30,91.4,--,--
2026-06-03 14:58:31,55.4,--,--
2026-06-03 14:58:32,116.0,--,--
2026-06-03 14:58:33,88.8,--,--
2026-06-03 14:58:34,124.8,--,--
2026-06-03 14:58:35,127.4,--,--
2026-06-03 14:58:36,90.5,161.7,15.8
2026-06-03 14:58:37,89.6,177.9,15.8
2026-06-03 14:58:38,89.6,163.4,15.8
2026-06-03 14:58:39,86.1,163.4,15.8
2026-06-03 14:58:40,102.8,163.4,15.8
2026-06-03 14:58:41,102.8,163.4,15.8
2026-06-03 14:58:42,56.2,163.4,15.8
2026-06-03 14:58:43,58.0,163.4,15.8
2026-06-03 14:58:44,59.8,163.4,15.8
2026-06-03 14:58:45,68.6,163.4,15.8
2026-06-03 14:58:46,48.3,163.4,15.8
2026-06-03 14:58:47,119.5,186.8,15.8
2026-06-03 14:58:48,84.4,127.1,15.8
2026-06-03 14:58:49,87.0,170.3,15.8
2026-06-03 14:58:50,86.1,170.3,15.8
2026-06-03 14:58:51,106.3,193.1,15.8
2026-06-03 14:58:52,108.1,173.4,15.8
2026-06-03 14:58:53,108.1,192.7,15.8
2026-06-03 14:58:54,110.7,192.7,15.8
2026-06-03 14:58:55,111.6,192.7,15.8
2026-06-03 14:58:56,69.4,192.7,15.8
2026-06-03 14:58:57,66.8,157.5,16.7
2026-06-03 14:58:58,62.4,139.4,16.7
2026-06-03 14:58:59,65.9,139.4,16.7
2026-06-03 14:59:00,71.2,139.4,16.7
2026-06-03 14:59:01,74.7,139.4,16.7
2026-06-03 14:59:02,87.9,139.4,16.7
2026-06-03 14:59:03,89.6,150.8,17.6
2026-06-03 14:59:04,88.8,130.0,17.6
2026-06-03 14:59:05,116.0,145.5,17.6
2026-06-03 14:59:06,116.0,116.3,17.6
2026-06-03 14:59:07,116.0,135.4,16.7
2026-06-03 14:59:08,114.3,166.1,16.7
2026-06-03 14:59:09,77.3,176.2,22.9
2026-06-03 14:59:22,69.4,--,--
2026-06-03 14:59:24,75.6,--,--
2026-06-03 14:59:25,78.2,--,--
2026-06-03 14:59:26,80.0,--,--
2026-06-03 14:59:27,88.8,--,--
2026-06-03 14:59:28,91.4,--,--
2026-06-03 14:59:29,93.2,--,--
2026-06-03 14:59:30,94.0,--,--
2026-06-03 14:59:31,94.9,--,--
2026-06-03 14:59:32,94.9,--,--
2026-06-03 14:59:33,129.2,--,--
2026-06-03 14:59:34,50.1,--,--
2026-06-03 14:59:35,53.6,--,--
2026-06-03 14:59:36,56.2,--,--
2026-06-03 14:59:37,57.1,--,--
2026-06-03 14:59:38,55.4,--,--
2026-06-03 14:59:39,53.6,--,--
2026-06-03 14:59:40,117.8,--,--
2026-06-03 14:59:41,123.0,--,--
2026-06-03 14:59:42,123.9,146.7,9.7
2026-06-03 14:59:43,73.8,146.7,9.7
2026-06-03 14:59:44,70.3,146.7,9.7
2026-06-03 14:59:45,69.4,146.7,9.7
2026-06-03 14:59:46,66.8,146.7,9.7
2026-06-03 15:24:31,80.0,--,--
2026-06-03 15:24:32,77.3,--,--
2026-06-03 15:24:33,72.9,--,--
2026-06-03 15:24:34,138.9,--,--
2026-06-03 15:24:35,136.2,--,--
2026-06-03 15:24:36,134.5,--,--
2026-06-03 15:24:37,86.1,--,--
2026-06-03 15:24:38,56.2,--,--
2026-06-03 15:24:39,58.0,--,--
2026-06-03 15:24:40,62.4,--,--
2026-06-03 15:24:41,69.4,--,--
2026-06-03 15:24:42,71.2,--,--
2026-06-03 15:24:43,70.3,--,--
2026-06-03 15:24:45,69.4,--,--
2026-06-03 15:24:46,116.9,--,--
2026-06-03 15:24:47,84.4,--,--
2026-06-03 15:24:48,82.6,--,--
2026-06-03 15:24:49,80.0,--,--
2026-06-03 15:24:50,72.9,190.2,14.9
2026-06-03 15:24:51,68.6,197.6,9.7
2026-06-03 15:24:52,94.9,187.8,23.7
2026-06-03 15:24:53,95.8,198.5,23.7
2026-06-03 15:24:54,109.9,198.5,23.7
2026-06-03 15:24:55,73.8,198.5,23.7
2026-06-03 15:24:56,70.3,198.5,23.7
2026-06-03 15:24:57,67.7,199.9,23.7
2026-06-03 15:29:58,95.8,--,--
2026-06-03 15:29:59,97.6,--,--
2026-06-03 15:30:00,66.8,--,--
2026-06-03 15:30:01,90.5,--,--
2026-06-03 15:30:02,86.1,--,--
2026-06-03 15:30:03,87.0,--,--
2026-06-03 15:30:04,90.5,--,--
2026-06-03 15:30:05,89.6,--,--
2026-06-03 15:30:06,87.0,--,--
2026-06-03 15:30:07,85.3,--,--
2026-06-03 15:30:08,52.7,--,--
2026-06-03 15:30:09,54.5,--,--
2026-06-03 15:30:10,58.0,--,--
2026-06-03 15:30:11,58.9,--,--
2026-06-03 15:30:12,58.9,--,--
2026-06-03 15:30:13,53.6,--,--
2026-06-03 15:30:14,89.6,--,--
2026-06-03 15:30:15,91.4,--,--
2026-06-03 15:30:16,89.6,--,--
2026-06-03 15:30:17,65.9,--,--
2026-06-03 15:30:18,65.9,180.6,21.1
2026-06-03 15:30:19,64.2,191.9,21.1
2026-06-03 15:30:20,63.3,191.9,21.1
2026-06-03 15:30:21,65.9,191.9,21.1
2026-06-03 15:30:22,69.4,191.9,21.1
2026-06-03 15:30:23,72.9,191.9,21.1
2026-06-03 15:30:24,116.0,191.9,21.1
2026-06-03 15:30:25,117.8,191.9,21.1
2026-06-03 15:30:26,60.6,191.9,21.1
2026-06-03 15:30:27,68.6,191.9,21.1
2026-06-03 15:30:28,70.3,191.9,21.1
2026-06-03 15:30:29,72.1,185.9,21.1
2026-06-03 15:30:30,73.8,185.9,21.1
2026-06-03 15:30:31,74.7,199.7,20.2
2026-06-03 15:30:32,80.9,199.7,20.2
2026-06-03 15:30:33,58.9,197.3,20.2
